Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108
0,0,4,18,2,18,13,19,18,17,7,5,10,12,14,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,10,8,8,3,11,12,7,5,15,11,1,9,15,14,11,17,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,17,18,0,3,6,14,12,18,2,15,8,1,1,18,2,3,3,3,9,17,4,5,16,16,8,16,11,11,10,5,19
0,1,4,18,2,18,13,19,18,11,7,5,10,12,14,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,10,8,8,3,11,12,7,5,15,11,1,9,16,14,11,17,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,17,18,0,3,6,14,18,18,2,15,8,1,1,18,2,3,3,3,1,10,4,5,16,16,8,16,11,11,7,5,2
0,2,4,18,2,18,13,19,18,11,7,5,10,12,14,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,10,8,8,3,11,12,7,5,15,11,1,9,16,14,11,17,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,17,18,0,3,6,14,18,18,2,15,8,1,1,18,2,3,3,8,1,10,4,5,16,16,2,16,11,11,17,5,13
0,3,4,18,2,18,13,19,18,11,7,5,10,12,14,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,10,8,8,3,11,12,7,5,15,11,1,9,16,14,11,17,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,17,18,0,3,6,14,18,18,2,15,8,1,1,18,2,3,3,8,1,10,4,5,16,16,2,16,11,7,17,18,0
0,4,4,18,2,18,13,19,18,11,7,5,10,12,14,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,10,8,8,3,11,12,7,5,15,11,1,9,16,14,11,17,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,17,18,0,3,6,14,18,18,2,15,8,1,1,18,2,3,3,8,1,10,4,5,16,16,2,15,11,7,12,18,4
0,5,5,18,5,18,13,19,18,11,7,5,10,5,16,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,10,8,8,3,11,12,7,5,15,8,9,6,16,14,18,8,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,17,18,0,3,11,18,0,13,2,15,8,1,1,18,2,3,3,8,6,5,4,5,16,16,2,19,11,7,5,18,9
0,6,5,18,5,18,13,19,18,11,7,5,10,5,16,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,8,8,4,3,11,12,7,5,17,8,9,6,16,14,18,8,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,16,14,0,3,6,18,0,13,2,15,8,1,1,18,2,3,10,8,1,5,4,5,16,16,18,4,11,7,13,18,2
0,7,5,18,5,18,13,19,18,11,7,5,10,5,16,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,8,8,4,3,11,12,7,5,17,8,9,6,16,14,18,8,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,16,14,0,3,6,18,0,13,2,15,8,1,1,18,2,3,10,8,1,5,4,5,16,16,18,4,11,7,13,18,7
0,8,5,18,5,18,13,19,18,11,7,5,10,5,16,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,8,8,4,3,15,18,13,5,17,8,9,6,16,14,18,8,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,2,14,8,9,6,18,0,13,2,15,8,1,1,18,2,3,6,18,1,5,4,5,16,16,18,4,11,7,12,18,19
0,9,5,18,5,18,13,19,18,11,7,5,10,5,16,7,8,0,13,7,9,9,5,3,14,5,6,10,6,17,16,14,16,8,7,14,1,15,18,17,2,14,17,10,15,17,14,1,8,8,4,3,15,18,13,5,17,8,9,6,16,14,18,8,11,12,16,18,6,1,12,6,0,17,19,0,9,7,13,5,2,14,8,9,6,18,0,13,2,15,8,1,1,18,2,3,6,18,1,5,4,5,16,16,18,4,11,7,1,18,13
